down,yards_until_reset,Total_Sacks,Total_Dropbacks,Sack_Rate
1.0,Short (1-3),0.0,3,0.0
1.0,Medium (4-6),0.0,3,0.0
1.0,Long (7-9),0.0,3,0.0
1.0,Very Long (10+),11.0,122,9.01639344262295
2.0,Short (1-3),1.0,7,14.285714285714285
2.0,Medium (4-6),2.0,16,12.5
2.0,Long (7-9),4.0,28,14.285714285714285
2.0,Very Long (10+),4.0,49,8.16326530612245
3.0,Short (1-3),0.0,14,0.0
3.0,Medium (4-6),1.0,27,3.7037037037037033
3.0,Long (7-9),0.0,22,0.0
3.0,Very Long (10+),4.0,37,10.81081081081081
4.0,Short (1-3),0.0,5,0.0
4.0,Medium (4-6),0.0,4,0.0
4.0,Long (7-9),0.0,1,0.0
4.0,Very Long (10+),0.0,2,0.0
